Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Services,MAS,54151HACS ,"1 SYNC TECHNOLOGIES, LLC",47QTCA18D00AR,8150 OLD FEDERAL RD,,MONTGOMERY,AL,36117-8007,,334-219-3921,govt@1synctech.com,http://www.1synctech.com,17-Apr-23,17-Apr-38,SHKSNU48JHZ7,s,,,,,,,d,8a,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D00AR/47QTCA18D00AR_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA18D00AR&sin=54151HACS&src=elib&app=cat
Information Technology , IT Services,MAS,54151HACS ,21ST CENTURY TECHNOLOGIES INC.,47QTCA18D00KW,21 NORTH BROAD STREET SUITE I,,LURAY,VA,22835-1147,,(703)402-2542,skey@21ctsolutions.com,http://www.21ctsolutions.com,19-Sep-23,19-Sep-38,X3K5G1GE46Y9,s,,,,,,,,,h,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D00KW/47QTCA18D00KW_online.htm,
Information Technology , IT Services,MAS,54151HACS ,22ND CENTURY TECHNOLOGIES INC.,GS-35F-0579T,8251 GREENSBORO DR,STE 900,MC LEAN,VA,22102,,7032068443,proposal@tscti.com,http://www.tscti.com,5-Aug-27,5-Aug-27,QT2VZ9L1VPQ1,,o,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/GS35F0579T/GS35F0579T_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0579T&sin=54151HACS&src=elib&app=cat
Information Technology , IT Services,MAS,54151HACS ,"A1PLUSSOFT, INC.",47QTCA22D006T,2511 BODDINGTON LN,,NAPERVILLE,IL,60564-9487,,6309356938,brengamannar@a1plussoft.com,http://a1plussoft.com,12-Apr-27,12-Apr-42,FV36SXMCLFB5,s,,,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA22D006T/47QTCA22D006T_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D006T&sin=54151HACS&src=elib&app=cat
Information Technology , IT Services,MAS,54151HACS ,ABACUS TECHNOLOGY CORPORATION,GS-35F-720GA,"5404 WISCONSIN AVENUE, SUITE 110",,CHEVY CHASE,MD,20815-3573,,301-215-7593,CROSSJ@ABACUSTECH.COM,http://WWW.ABACUSTECH.COM,29-Sep-27,29-Sep-37,WDAKBC8NA214,,o,,,,,,,,,,Y,https://www.gsaadvantage.gov/ref_text/GS35F720GA/GS35F720GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-720GA&sin=54151HACS&src=elib&app=cat
Information Technology , IT Services,MAS,54151HACS ,"ABILE GROUP, INC.",47QTCA19D00FR,516 HARWOOD RD,,HARWOOD,MD,20776-9517,,703-917-4257,caraducellier@abilegroup.com,http://www.abilegroup.com,21-Jul-24,21-Jul-39,UE8NACHPLCX6,s,,w,wo,ew,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA19D00FR/47QTCA19D00FR_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA19D00FR&sin=54151HACS&src=elib&app=cat
