Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Solutions,MAS,518210C ,"1901 GROUP, LLC",GS-35F-0617W,2003 EDMUND HALLEY DR STE 102,,RESTON,VA,20191-3498,,571-526-7840,Michael.L.Dinkins@leidos.com,http://www.1901group.com,"Sep 1, 2025","Sep 1, 2030",PTMRDGJPKHD5,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0617W/GS35F0617W_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0617W&sin=518210C&src=elib&app=cat
Information Technology , IT Solutions,MAS,518210C ,"24X7SYSTEMS, INC.",47QTCA18D005J,100 BARTON PLACE,,ALPHARETTA,GA,30005-2578,,404-229-7952,srinivas@24x7systems.com,http://www.24x7systems.com,"Jan 16, 2028","Jan 16, 2038",JNSMCYBN7667,s,,,,,,,d,8a,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D005J/47QTCA18D005J_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA18D005J&sin=518210C&src=elib&app=cat
Information Technology , IT Solutions,MAS,518210C ,"2TECHJV, LLC",47QTCA22D005H,14000 CROWN CT STE 206,,WOODBRIDGE,VA,22193-1471,,703-582-3932,Bill.Lytle@2TechJV.com,http://https://www.2TechJV.com,"Mar 7, 2027","Mar 7, 2042",DA2CK3NHG5A3,s,,,,,,dv,,,,Y,,https://www.gsaadvantage.gov/ref_text/47QTCA22D005H/47QTCA22D005H_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D005H&sin=518210C&src=elib&app=cat
Information Technology , IT Solutions,MAS,518210C ,3G FEDERAL SOLUTIONS LLC,47QTCA20D009V,"1712 CLUB HOUSE RD, SUITE 128",,RESTON,VA,20190-4595,,703-473-8303,Kamal.yadav@3gfederal.net,http://www.3gfederal.net,"May 10, 2025","May 10, 2040",Z9C2JYHB8XJ1,s,,,,,,,d,,h,Y,,https://www.gsaadvantage.gov/ref_text/47QTCA20D009V/47QTCA20D009V_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA20D009V&sin=518210C&src=elib&app=cat
Information Technology , IT Solutions,MAS,518210C ,3RD EYE TECHNOLOGIES INC.,47QTCA21D00DJ,13800 COPPERMINE RD STE 149,,HERNDON,VA,20171-6163,,703-554-4536,ron.huda@t3rdeyetech.com,http://www.3rdeyetechinc.com,"Aug 11, 2026","Aug 11, 2041",UZYNJMEQGAY4,s,,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/47QTCA21D00DJ/47QTCA21D00DJ_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA21D00DJ&sin=518210C&src=elib&app=cat
Information Technology , IT Solutions,MAS,518210C ,"4 ARROWS CONSULTING, INC.",47QTCA21D00AS,800 GLADE FORK RD,,CRAB ORCHARD,KY,40419-8467,,606-879-1164,blakemand@4arrowsinc.com,http://www.4arrowsinc.com,"Jun 3, 2026","Jun 3, 2041",HWE6KMMKH5M5,s,,,,,,,,,h,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA21D00AS/47QTCA21D00AS_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA21D00AS&sin=518210C&src=elib&app=cat
